z           O           N2                          O2                          He                      Ar                          H           N
0.000000	0.000000	18800000000000000000.000000	5044000000000000000.000000	126200000000000.000000	224900000000000000.000000	0.000000	0.000000
0.500000	0.000000	17980000000000000000.000000	4823000000000000000.000000	120700000000000.000000	215100000000000000.000000	0.000000	0.000000
1.000000	0.000000	17160000000000000000.000000	4604000000000000000.000000	115200000000000.000000	205300000000000000.000000	0.000000	0.000000
1.500000	0.000000	16360000000000000000.000000	4388000000000000000.000000	109800000000000.000000	195600000000000000.000000	0.000000	0.000000
2.000000	0.000000	15570000000000000000.000000	4176000000000000000.000000	104500000000000.000000	186200000000000000.000000	0.000000	0.000000
2.500000	0.000000	14800000000000000000.000000	3971000000000000000.000000	99330000000000.000000	177000000000000000.000000	0.000000	0.000000
3.000000	0.000000	14060000000000000000.000000	3772000000000000000.000000	94360000000000.000000	168200000000000000.000000	0.000000	0.000000
3.500000	0.000000	13350000000000000000.000000	3581000000000000000.000000	89570000000000.000000	159700000000000000.000000	0.000000	0.000000
4.000000	0.000000	12660000000000000000.000000	3397000000000000000.000000	84980000000000.000000	151500000000000000.000000	0.000000	0.000000
4.500000	0.000000	12010000000000000000.000000	3222000000000000000.000000	80600000000000.000000	143700000000000000.000000	0.000000	0.000000
5.000000	0.000000	11390000000000000000.000000	3055000000000000000.000000	76430000000000.000000	136200000000000000.000000	0.000000	0.000000
5.500000	0.000000	10800000000000000000.000000	2897000000000000000.000000	72460000000000.000000	129200000000000000.000000	0.000000	0.000000
6.000000	0.000000	10240000000000000000.000000	2746000000000000000.000000	68700000000000.000000	122500000000000000.000000	0.000000	0.000000
6.500000	0.000000	9708000000000000000.000000	2604000000000000000.000000	65150000000000.000000	116100000000000000.000000	0.000000	0.000000
7.000000	0.000000	9207000000000000000.000000	2470000000000000000.000000	61780000000000.000000	110100000000000000.000000	0.000000	0.000000
7.500000	0.000000	8734000000000000000.000000	2343000000000000000.000000	58610000000000.000000	104500000000000000.000000	0.000000	0.000000
8.000000	0.000000	8287000000000000000.000000	2223000000000000000.000000	55610000000000.000000	99120000000000000.000000	0.000000	0.000000
8.500000	0.000000	7865000000000000000.000000	2110000000000000000.000000	52780000000000.000000	94080000000000000.000000	0.000000	0.000000
9.000000	0.000000	7467000000000000000.000000	2003000000000000000.000000	50110000000000.000000	89310000000000000.000000	0.000000	0.000000
9.500000	0.000000	7090000000000000000.000000	1902000000000000000.000000	47580000000000.000000	84810000000000000.000000	0.000000	0.000000
10.000000	0.000000	6734000000000000000.000000	1806000000000000000.000000	45190000000000.000000	80540000000000000.000000	0.000000	0.000000
10.500000	0.000000	6395000000000000000.000000	1716000000000000000.000000	42920000000000.000000	76490000000000000.000000	0.000000	0.000000
11.000000	0.000000	6069000000000000000.000000	1628000000000000000.000000	40730000000000.000000	72600000000000000.000000	0.000000	0.000000
11.500000	0.000000	5753000000000000000.000000	1543000000000000000.000000	38600000000000.000000	68810000000000000.000000	0.000000	0.000000
12.000000	0.000000	5442000000000000000.000000	1460000000000000000.000000	36520000000000.000000	65090000000000000.000000	0.000000	0.000000
12.500000	0.000000	5135000000000000000.000000	1377000000000000000.000000	34460000000000.000000	61420000000000000.000000	0.000000	0.000000
13.000000	0.000000	4831000000000000000.000000	1296000000000000000.000000	32420000000000.000000	57790000000000000.000000	0.000000	0.000000
13.500000	0.000000	4531000000000000000.000000	1216000000000000000.000000	30410000000000.000000	54200000000000000.000000	0.000000	0.000000
14.000000	0.000000	4235000000000000000.000000	1136000000000000000.000000	28420000000000.000000	50650000000000000.000000	0.000000	0.000000
14.500000	0.000000	3943000000000000000.000000	1058000000000000000.000000	26460000000000.000000	47160000000000000.000000	0.000000	0.000000
15.000000	0.000000	3657000000000000000.000000	981000000000000000.000000	24540000000000.000000	43740000000000000.000000	0.000000	0.000000
15.500000	0.000000	3378000000000000000.000000	906300000000000000.000000	22670000000000.000000	40410000000000000.000000	0.000000	0.000000
16.000000	0.000000	3111000000000000000.000000	834500000000000000.000000	20870000000000.000000	37210000000000000.000000	0.000000	0.000000
16.500000	0.000000	2856000000000000000.000000	766300000000000000.000000	19170000000000.000000	34170000000000000.000000	0.000000	0.000000
17.000000	0.000000	2617000000000000000.000000	702100000000000000.000000	17560000000000.000000	31310000000000000.000000	0.000000	0.000000
17.500000	0.000000	2394000000000000000.000000	642400000000000000.000000	16070000000000.000000	28640000000000000.000000	0.000000	0.000000
18.000000	0.000000	2188000000000000000.000000	587000000000000000.000000	14680000000000.000000	26170000000000000.000000	0.000000	0.000000
18.500000	0.000000	1998000000000000000.000000	536100000000000000.000000	13410000000000.000000	23900000000000000.000000	0.000000	0.000000
19.000000	0.000000	1825000000000000000.000000	489500000000000000.000000	12250000000000.000000	21830000000000000.000000	0.000000	0.000000
19.500000	0.000000	1667000000000000000.000000	447100000000000000.000000	11180000000000.000000	19930000000000000.000000	0.000000	0.000000
20.000000	0.000000	1523000000000000000.000000	408600000000000000.000000	10220000000000.000000	18220000000000000.000000	0.000000	0.000000
20.500000	0.000000	1393000000000000000.000000	373700000000000000.000000	9349000000000.000000	16660000000000000.000000	0.000000	0.000000
21.000000	0.000000	1276000000000000000.000000	342200000000000000.000000	8560000000000.000000	15260000000000000.000000	0.000000	0.000000
21.500000	0.000000	1169000000000000000.000000	313600000000000000.000000	7844000000000.000000	13980000000000000.000000	0.000000	0.000000
22.000000	0.000000	1072000000000000000.000000	287600000000000000.000000	7194000000000.000000	12820000000000000.000000	0.000000	0.000000
